Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/P1_802142976,24,24,0,"100.00"
/P1_802142976/.settings,11,11,0,"100.00"
/P1_802142976/bin/dataGenerator,95,95,0,"100.00"
/P1_802142976/bin/interfaces,10,10,0,"100.00"
/P1_802142976/bin/mySetImplementations,80,80,0,"100.00"
/P1_802142976/bin/p1MainClasses,36,36,0,"100.00"
/P1_802142976/bin/setIntersectionFinders,11,11,0,"100.00"
/P1_802142976/bin/testerClasses,16,16,0,"100.00"
/P1_802142976/src/dataGenerator,220,220,0,"100.00"
/P1_802142976/src/interfaces,102,102,0,"100.00"
/P1_802142976/src/mySetImplementations,145,145,0,"100.00"
/P1_802142976/src/p1MainClasses,55,55,0,"100.00"
/P1_802142976/src/setIntersectionFinders,15,15,0,"100.00"
/P1_802142976/src/testerClasses,16,16,0,"100.00"
